lat,lon,sst,qual_sst
23.716604,36.145832,25.055,0.0
23.716604,36.145832,25.055,0.0
23.716604,36.145832,25.095,0.0
23.716604,36.145832,25.08,0.0
23.716604,36.145832,25.135,0.0
23.674873,36.395832,25.189999,0.0
23.674873,36.395832,25.255,0.0
23.674873,36.395832,25.3,0.0
23.674873,36.395832,25.279999,0.0
23.674873,36.395832,25.324999,0.0
23.674873,36.395832,23.875,0.0
23.674873,36.395832,23.9,0.0
23.674873,36.395832,25.275,0.0
23.674873,36.395832,25.295,0.0
23.674873,36.395832,25.375,0.0
23.674873,36.395832,25.46,0.0
23.674873,36.395832,25.48,0.0
23.674873,36.9375,25.445,0.0
23.674873,36.9375,25.5,0.0
23.674873,36.9375,25.435,0.0
23.674873,36.9375,25.435,0.0
23.674873,36.9375,25.449999,0.0
23.674873,36.9375,25.375,0.0
23.674873,36.9375,25.269999,0.0
23.674873,36.9375,25.225,0.0
23.674873,36.9375,25.21,0.0
23.674873,36.9375,25.305,0.0
23.674873,36.9375,24.01,0.0
23.674873,36.9375,25.24,0.0
23.674873,37.395832,25.215,0.0
23.674873,37.395832,24.595,0.0
23.674873,37.395832,24.0,0.0
23.674873,37.395832,23.88,0.0
23.674873,37.395832,24.095,0.0
23.674873,37.395832,24.205,0.0
23.674873,37.395832,24.25,0.0
23.674873,37.395832,24.17,0.0
23.674873,37.395832,24.119999,0.0
23.674873,37.395832,24.095,0.0
23.674873,37.395832,24.05,0.0
23.674873,37.395832,25.314999,0.0
23.716604,38.145832,25.13,0.0
23.716604,38.145832,24.904999,0.0
23.716604,38.145832,24.039999,0.0
23.716604,38.145832,24.015,0.0
23.716604,38.145832,24.1,0.0
23.716604,38.145832,24.115,0.0
23.716604,38.145832,24.019999,0.0
23.716604,38.145832,23.93,0.0
23.716604,38.145832,23.91,0.0
23.716604,38.145832,23.9,0.0
23.716604,38.145832,23.855,0.0
23.716604,38.145832,23.835,0.0
23.674873,35.729168,24.115,0.0
23.674873,35.729168,24.225,0.0
23.674873,35.729168,24.095,0.0
23.674873,35.729168,24.095,0.0
23.674873,35.729168,23.81,0.0
23.674873,35.729168,24.119999,0.0
23.674873,35.729168,24.17,0.0
23.674873,35.729168,24.285,0.0
23.674873,35.729168,24.324999,0.0
23.674873,35.729168,24.47,0.0
23.674873,35.729168,24.56,0.0
23.674873,35.729168,24.535,0.0
23.758333,38.104168,24.555,0.0
23.758333,38.104168,24.539999,0.0
23.758333,38.104168,24.635,0.0
23.758333,38.104168,24.8,0.0
23.758333,38.104168,24.925,0.0
23.758333,38.104168,23.965,0.0
23.758333,38.104168,23.984999,0.0
23.758333,38.104168,24.935,0.0
23.758333,38.104168,25.484999,0.0
23.758333,38.104168,25.215,0.0
23.758333,38.104168,25.365,0.0
23.758333,38.104168,25.51,0.0
23.800064,37.395832,25.484999,0.0
23.800064,37.395832,25.414999,0.0
23.800064,37.395832,25.34,0.0
23.800064,37.395832,25.369999,0.0
23.800064,37.395832,25.475,0.0
23.800064,37.395832,25.439999,0.0
23.800064,37.395832,25.445,0.0
23.800064,37.395832,25.394999,0.0
23.800064,37.395832,25.385,0.0
23.800064,37.395832,25.4,0.0
23.800064,37.395832,24.1,0.0
23.800064,37.395832,25.404999,0.0
23.800064,37.979168,25.4,0.0
23.800064,37.979168,25.414999,0.0
23.800064,37.979168,25.475,0.0
23.800064,37.979168,25.505,0.0
23.800064,37.979168,25.46,0.0
23.800064,37.979168,25.369999,0.0
23.800064,37.979168,25.255,0.0
23.800064,37.979168,25.199999,0.0
23.800064,37.979168,25.085,0.0
23.800064,37.979168,24.994999,0.0
23.800064,37.979168,24.574999,0.0
23.800064,37.979168,24.935,0.0
23.800064,35.729168,25.154999,0.0
23.800064,35.729168,25.175,0.0
23.800064,35.729168,24.295,0.0
23.800064,35.729168,24.09,0.0
23.800064,35.729168,24.045,0.0
23.800064,35.729168,24.039999,0.0
