lat,lon,chlor_a
23.925253,37.520832,0.21869655
23.925253,37.520832,0.21481714
23.925253,37.520832,0.21226704
23.925253,37.520832,0.20378406
23.925253,37.520832,0.20879258
23.925253,37.520832,0.24546354
23.925253,37.520832,0.21432395
23.925253,37.520832,0.22344072
23.925253,37.520832,0.23281682
23.925253,37.520832,0.24777253
23.925253,37.520832,0.26425767
23.925253,37.520832,0.265113
23.925253,38.020832,0.28506404
23.925253,38.020832,0.30408433
23.925253,38.020832,0.31427315
23.925253,38.020832,0.36822808
23.925253,38.020832,0.37020782
23.925253,38.020832,0.406524
23.925253,38.020832,0.46073234
23.925253,38.020832,0.22480048
23.925253,38.020832,0.2315262
23.925253,38.020832,0.28171664
23.925253,38.020832,0.20900181
23.925253,38.020832,0.2671266
23.925253,35.854168,0.2621693
23.925253,35.854168,0.2512267
23.925253,35.854168,0.2344327
23.925253,35.854168,0.23574288
23.925253,35.854168,0.23752594
23.925253,35.854168,0.2343826
23.925253,35.854168,0.22623162
23.925253,35.854168,0.22624771
23.925253,35.854168,0.2087286
23.925253,35.854168,0.21189202
23.925253,35.854168,0.21408255
23.925253,35.854168,0.20822604
23.925253,36.395832,0.21681397
23.925253,36.395832,0.23702048
23.925253,36.395832,0.21789774
23.925253,36.395832,0.21641189
23.925253,36.395832,0.22143249
23.925253,36.395832,0.24320273
23.925253,36.395832,0.2468693
23.925253,36.395832,0.23745847
23.925253,36.395832,0.23527457
23.925253,36.395832,0.24599461
23.925253,36.395832,0.25484785
23.925253,36.395832,0.24750811
23.925253,36.854168,0.23788726
23.925253,36.854168,0.23809958
23.925253,36.854168,0.23609678
23.925253,36.854168,0.34311545
23.925253,36.854168,0.5120141
23.925253,36.854168,0.50695986
23.925253,36.854168,0.22111051
23.925253,36.854168,0.23284414
23.925253,36.854168,0.22522368
23.925253,36.854168,0.22561164
23.925253,36.854168,0.22505458
23.925253,36.854168,0.22431596
23.716604,36.8125,0.22573245
23.716604,36.8125,0.22497427
23.716604,36.8125,0.22530293
23.716604,36.8125,0.21840373
23.716604,36.8125,0.2179843
23.716604,36.8125,0.21533464
23.716604,36.8125,0.21909985
23.716604,36.8125,0.22443588
23.716604,36.8125,0.22107413
23.716604,36.8125,0.24427566
23.716604,36.8125,0.21948981
23.716604,36.8125,0.2186317
23.716604,37.3125,0.22334498
23.716604,37.3125,0.22795895
23.716604,37.3125,0.2278367
23.716604,37.3125,0.23108043
23.716604,37.3125,0.2333844
23.716604,37.3125,0.23832318
23.716604,37.3125,0.24357927
23.716604,37.3125,0.24149653
23.716604,37.3125,0.24195088
23.716604,37.3125,0.237612
23.716604,37.3125,0.23025794
23.716604,37.3125,0.24163617
23.716604,36.479168,0.23411965
23.716604,36.479168,0.21120368
23.716604,36.479168,0.29493228
23.716604,36.479168,0.26475
23.716604,36.479168,0.46945593
23.716604,36.479168,0.44689012
23.716604,36.479168,0.29788962
23.716604,36.479168,0.33483955
23.716604,36.479168,0.3932477
23.716604,36.479168,0.512823
23.716604,36.479168,0.51193625
23.716604,36.479168,0.47525212
23.716604,35.604168,0.36594486
23.716604,35.604168,0.45006514
23.716604,35.604168,0.29096583
23.716604,35.604168,0.29313645
23.716604,35.604168,0.2829869
23.716604,35.604168,0.218251
23.716604,35.604168,0.26108748
23.716604,35.604168,0.22776271
23.716604,35.604168,0.21344638
23.716604,35.604168,0.21866593
23.716604,35.604168,0.21559942
23.716604,35.604168,0.21559525
23.716604,36.145832,0.21592422
23.716604,36.145832,0.21782811
23.716604,36.145832,0.21490835
23.716604,36.145832,0.21657407
23.716604,36.145832,0.2204541
23.716604,36.145832,0.2161705
23.716604,36.145832,0.21408014
23.716604,36.145832,0.22099616
23.716604,36.145832,0.20044084
23.716604,36.145832,0.23290512
23.716604,36.145832,0.20870982
23.716604,36.145832,0.20851809
23.674873,36.395832,0.22251467
23.674873,36.395832,0.23341413
23.674873,36.395832,0.23684143
23.674873,36.395832,0.24436148
23.674873,36.395832,0.23662889
23.674873,36.395832,0.23133701
23.674873,36.395832,0.21360427
23.674873,36.395832,0.21557258
23.674873,36.395832,0.22667617
23.674873,36.395832,0.22765425
23.674873,36.395832,0.22016256
23.674873,36.395832,0.21170688
23.674873,36.9375,0.21592142
23.674873,36.9375,0.23059909
23.674873,36.9375,0.2210695
23.674873,36.9375,0.21381402
23.674873,36.9375,0.21463121
23.674873,36.9375,0.21985084
23.674873,36.9375,0.21807893
23.674873,36.9375,0.2156601
23.674873,36.9375,0.2185473
23.674873,36.9375,0.22150138
